Nama Perguruan Tinggi Swasta;Tahun;Mahasiswa;Dosen;Rasio
Akademi Akuntansi Bima Sakapenta;2021;0;0;-
Akademi Akuntansi Effendi Harahap;2021;240;11;1:22
Akademi Akuntansi Muhammadiyah Klaten;2021;11;12;1:1
Akademi Analis Kesehatan 17 Agustus 1945;2021;207;7;1:30
Akademi Analis Kesehatan Pekalongan;2021;269;9;1:30
Akademi Bahasa Asing Harapan Bangsa;2021;44;0;-
Akademi Bahasa Asing IEC Putra Bangsa Tegal;2021;0;0;-
Akademi Bahasa Asing Prawira Martha Sukoharjo;2021;29;12;1:3
Akademi Bahasa Asing RA Kartini Surakarta;2021;0;0;-
Akademi Bahasa Asing St. Pignatelli;2021;31;5;1:7
Akademi Entrepreneurship Terang Bangsa;2021;34;13;1:3
Akademi Farmasi 17 Agustus 1945 Semarang;2021;44;11;1:4
Akademi Farmasi Kusuma Husada Purwokerto;2021;84;5;1:17
Akademi Inovasi Indonesia;2021;0;0;-
Akademi Kebidanan Bhakti Nusantara Salatiga;2021;0;0;-
Akademi Kebidanan Bhakti Pertiwi Pemalang;2021;27;12;1:3
Akademi Kebidanan Dulang Mas;2021;0;0;-
Akademi Kebidanan Duta Dharma;2021;47;19;1:3
Akademi Kebidanan Giri Satria Husada Wonogiri;2021;0;11;-
Akademi Kebidanan Graha Mandiri Cilacap;2021;50;12;1:5
Akademi Kebidanan Harapan Ibu Pekalongan;2021;36;11;1:4
Akademi Kebidanan Islam Al-hikmah;2021;91;13;1:7
Akademi Kebidanan KH Putra;2021;70;13;1:6
Akademi Kebidanan Mardi Rahayu;2021;0;12;-
Akademi Kebidanan Siti Fatimah;2021;34;8;1:5
Akademi Kebidanan Yappi Sragen;2021;10;18;1:1
Akademi Keperawatan Al-Hikmah Brebes;2021;139;19;1:8
Akademi Keperawatan Alkautsar Temanggung;2021;72;9;1:8
Akademi Keperawatan Giri Satria Husada;2021;155;12;1:13
Akademi Keperawatan Insan Husada Surakarta;2021;230;18;1:13
Akademi Keperawatan Kabupaten Purworejo;2021;245;12;1:21
Akademi Keperawatan Karya Bhakti Nusantara;2021;216;8;1:27
Akademi Keperawatan Krida Husada;2021;234;17;1:14
Akademi Keperawatan Patria Husada Surakarta;2021;85;10;1:9
Akademi Keperawatan Pragolopati;2021;0;0;-
Akademi Keperawatan Primaya;2021;0;0;-
Akademi Keperawatan Yappi Sragen;2021;108;13;1:9
Akademi Kesehatan 17 Agustus 1945 Semarang;2021;0;0;-
Akademi Kesehatan Asih Husada;2021;97;24;1:5
Akademi Kesehatan Muhammadiyah Temanggung;2021;0;0;-
Akademi Kesejahteraan Sosial Ibu Kartini;2021;271;18;1:16
Akademi Keuangan Perbankan Widya Buana;2021;0;13;-
Akademi Komunitas Adiyasa Karanganyar;2021;0;0;-
Akademi Komunitas Al-Kahfi;2021;0;3;-
Akademi Komunitas Balekambang;2021;60;6;1:10
Akademi Komunitas BPPMNU Banat;2021;16;5;1:4
